"(M, N)",RMSE,[Coefficients],[Predicted Values]
"(1, 4)",228.91374642854186,"[0.04475023913958559, 0.05194049276541701, 0.04909050967181301, -0.013299890395699222, 0.9550679978393547]","[2014.8674872535971, 1802.2825487823968, 1908.51329398168, 1925.1922937261256, 1874.6233893037013, 1791.3526246964677, 1555.5090285169554, 1729.8177606828422, 1522.9875881964767, 1394.2607041158328, 1180.2440447596757, 1114.1199720789791, 1119.7092464024963, 1053.1828197463747, 1060.4000008085825, 1012.5875917710864, 992.2285220597836, 978.0850785392568, 1100.7197819503617, 1154.908808894158, 1098.038012288062]"
"(1, 5)",213.79249659489625,"[0.02675579774786918, 0.03249737363695904, 0.052246555420967705, 0.05251970056816684, -0.014252865979670008, 0.9521380732086662]","[1799.7280300865812, 1893.06273614268, 1906.4811445863704, 1861.2932562989618, 1771.875482387368, 1550.72937277179, 1730.5374907595333, 1512.1513534175429, 1372.014916829298, 1232.8248892520892, 1094.7364851846792, 1117.7846809699454, 1037.283124820312, 1046.2706354997867, 1000.894515370807, 968.3736073960767, 992.4114623289986, 1088.9405888075557, 1132.9636104643662, 1092.2866531862974]"
"(1, 6)",219.31129479544077,"[-0.0030147066497688557, 0.019331368077415534, 0.03192552098289242, 0.05290468338975186, 0.05359599314267676, -0.014973551480687193, 0.9532938593284808]","[1895.440603823268, 1911.5826929291554, 1865.3461401405877, 1774.6407457267221, 1548.6668750099109, 1731.5897867489323, 1511.2549326093053, 1366.9420441376628, 1215.2617646908361, 1089.840455753782, 1117.9787910735008, 1039.3879822858808, 1051.386165838074, 1004.0566174026303, 969.295468090902, 987.8500616401404, 1089.6070262349804, 1136.645192218669, 1092.5369765093064]"
"(1, 7)",223.17192482520264,"[0.008288019736635899, -0.005534188003870573, 0.019034025827450125, 0.03236339450178921, 0.05209923029390007, 0.05361139303924318, -0.014368543551550178, 0.9516461396819788]","[1911.3473026457168, 1860.8785321101532, 1769.487843583875, 1546.3978181833031, 1726.2902478783888, 1509.6283659786386, 1367.0338048566841, 1212.83734931841, 1087.1571289060962, 1135.3177008099453, 1035.6431827170925, 1051.8149001406264, 999.5618031738034, 965.792317670086, 985.2514478180085, 1084.222580585844, 1141.6045772157293, 1089.5314810610048]"
"(2, 0)",260.57309241304637,"[-0.16863767009719322, 1.1714226834755084]","[2131.8675652663132, 2115.160636845871, 1882.2613655403663, 2047.8627907894506, 2006.7183407525301, 1922.0657552237137, 1816.3998894499769, 1559.3193861965246, 1650.3231990721902, 1421.5042544110424, 1329.2059696110082, 1226.4250262433334, 1175.8521906217647, 1207.8902064734366, 1125.0293482652553, 1063.868503456383, 1016.9243275121089, 1028.7018413972978, 1038.7387325382858, 1168.4203340566683, 1220.9896986977885, 1165.017316166315]"
"(2, 1)",240.6003695624289,"[0.047776608092238285, -0.1247971029303494, 1.105471544837218]","[2083.0521657278523, 2071.6548742746427, 1850.631374833343, 2023.7911008990218, 1984.0322052096917, 1903.492984302577, 1815.5331234214657, 1650.6775230823268, 1609.0792729102707, 1413.7647216439964, 1296.283086298968, 1195.6480100913518, 1153.9400837110666, 1182.182275032934, 1147.638012311341, 1039.808371438459, 988.6000253138932, 1021.9198020381111, 1021.9393330144073, 1130.2959896821312, 1188.5301391982262, 1137.8041256708234]"
"(2, 2)",240.70108585724614,"[0.08982307523288524, -0.010966752190137851, -0.15103255373840158, 1.1150167306201548]","[2054.9704652200135, 2026.4601205708707, 1822.3984945055188, 1972.607633202541, 1980.5148821375135, 1890.7759383387431, 1786.196664419446, 1548.8404812285396, 1813.3589433218617, 1367.0309599118948, 1318.7969453109392, 1175.0481351368912, 1123.7401673579502, 1171.6499884031373, 1083.089155228813, 1116.0358514843094, 982.0376500018313, 978.3176117085159, 1035.0045526773524, 1143.8525441336283, 1166.9093208938775, 1123.1929901449375]"
"(2, 3)",233.46237371183756,"[0.07344164906251288, 0.058069892600496595, -0.021855901030329028, -0.17862831286874487, 1.130719948632566]","[2062.242402640347, 2001.6103657353833, 1781.6439290914625, 1948.485118460872, 1938.2156047988349, 1887.719381867105, 1773.0128553050222, 1506.7317829533345, 1773.6735506198743, 1523.0415460549934, 1287.4977675312152, 1190.3099273109046, 1102.0348817783743, 1145.4929814688794, 1060.2281059025654, 1076.3889987331968, 1042.2718583068613, 964.2402166456004, 999.9427728447499, 1156.6393685960345, 1171.3120267256372, 1100.0921161852693]"
"(2, 4)",224.98616094418986,"[0.05300199827311309, 0.053476144966961535, 0.04827248480953551, -0.018988064085789173, -0.21314238189615836, 1.1582784084453241]","[2005.9516348794618, 1755.141848633532, 1924.2510734094108, 1915.0072853445492, 1854.0969339697042, 1768.553458773062, 1495.945528438076, 1742.361323654143, 1492.6020479221597, 1395.3245074189267, 1163.3641437292852, 1108.8027753833674, 1126.3258211191562, 1037.1191554050292, 1052.8332761193515, 1011.0473138524014, 1004.8704987456413, 984.239819728077, 1129.528514956887, 1175.7367693914066, 1095.746231502616]"
"(2, 5)",209.6574342757551,"[0.0286449658562181, 0.04040763617434459, 0.053872470155069484, 0.05177737334278333, -0.020101899199915594, -0.21617506661802371, 1.1578787096119636]","[1751.7655318861136, 1907.9079588382428, 1894.8125631350274, 1839.5664770943724, 1747.6198587316067, 1490.1516250844807, 1743.2567810394444, 1481.127299070587, 1372.6164382451739, 1219.6071411269977, 1088.310232742835, 1124.4577250131792, 1019.9749483168041, 1037.6694352941774, 998.7832655415232, 980.1151954022466, 999.7822311810198, 1117.4446717532978, 1152.8850911261188, 1089.7980943685504]"
