2012,1,60,214370
2012,2,41,227562
2012,3,29,235897
2012,4,31,246723
2012,5,39,240261
2012,6,47,242091
2012,7,36,233835
2012,8,29,221976
2012,9,34,249896
2012,10,20,258459
2012,11,36,270624
2012,12,37,277806
2012,13,31,287010
2012,14,49,276932
2012,15,38,261138
2012,16,48,283878
2012,17,51,302086
2012,18,41,285927
2012,19,15,286578
2012,20,20,268796
2012,21,28,285405
2012,22,24,303055
2012,23,29,316269
2012,24,28,310832
2012,25,25,326841
2012,26,24,305358
2012,27,26,310934
2012,28,19,316913
2012,29,22,319488
2012,30,27,328273
2012,31,22,328471
2012,32,31,321749
2012,33,27,336464
2012,34,12,269296
2012,35,21,311985
2012,36,21,289923
2012,37,26,276352
2012,38,17,278039
2012,39,25,279558
2012,40,21,292757
2012,41,25,286238
2012,42,21,290235
2012,43,76,283456
2012,44,25,301759
2012,45,38,303273
2012,46,27,294721
2012,47,29,297554
2012,48,37,304913
2012,49,11,299005
2012,50,51,313518
2012,51,165,300384
2012,52,6,194964
2013,1,13,178703
2013,2,48,307161
2013,3,125,264702
2013,4,30,229387
2013,5,35,306808
2013,6,34,292708
2013,7,30,296416
2013,8,21,295977
2013,9,31,283912
2013,10,16,301402
2013,11,23,318158
2013,12,33,307774
2013,13,21,297220
2013,14,58,301721
2013,15,35,294746
2013,16,39,295708
2013,17,34,295225
2013,18,14,137618
2013,19,14,137618
2013,20,14,137618
2013,21,14,137618
2013,22,14,137618
2013,23,22,271087
2013,24,15,255595
2013,25,22,259776
2013,26,19,216034
2013,27,15,184517
2013,28,20,264403
2013,29,17,259065
2013,30,23,254015
2013,31,16,259589
2013,32,20,274163
2013,33,35,273293
2013,34,21,258849
2013,35,14,256160
2013,36,13,252337
2013,37,12,166527
2013,38,12,253578
2013,39,18,245647
2013,40,15,246860
2013,41,17,240924
2013,42,19,233421
2013,43,17,223599
2013,44,15,221562
2013,45,28,238008
2013,46,86,241453
2013,47,13,229361
2013,48,12,231908
2013,49,9,249602
2013,50,22,221996
2013,51,32,214953
2013,52,16,217707
2014,1,15,119104
2014,2,15,119104
2014,3,15,119104
2014,4,15,119104
2014,5,15,119104
2014,6,12,122417
2014,7,47,248512
2014,8,34,244111
2014,9,22,280186
2014,10,58,293337
2014,11,67,291559
2014,12,130,282750
2014,13,124,290836
2014,14,41,289608
2014,15,40,291633
2014,16,36,290160
2014,17,29,255733
2014,18,42,256892
2014,19,23,245175
2014,20,35,279215
2014,21,6,249957
2014,22,39,255070
2014,23,12,247583
2014,24,21,265464
2014,25,15,266779
2014,26,19,263629
2014,27,16,264797
2014,28,37,216449
2014,29,9,126666
2014,30,13,267226
2014,31,15,248880
2014,32,8,237653
2014,33,20,260879
2014,34,30,268813
2014,35,24,263693
2014,36,51,227855
2014,37,29,263217
2014,38,46,250916
2014,39,36,239903
2014,40,30,248847
2014,41,76,228465
2014,42,19,223331
2014,43,27,219963
2014,44,14,226267
2014,45,24,252227
2014,46,23,254080
2014,47,19,223470
2014,48,25,221335
2014,49,77,225219
2014,50,243,216516
2014,51,183,205372
2014,52,226,193172
2014,53,104,122725
