2015,1,3326,86138
2015,2,3645,85345
2015,3,3838,79520
2015,4,4168,90142
2015,5,3621,88406
2015,6,2990,82602
2015,7,2460,78291
2015,8,2381,85760
2015,9,2188,84927
2015,10,2248,86230
2015,11,1939,83627
2015,12,1698,84266
2015,13,1671,79415
2015,14,1520,78473
2015,15,1484,83875
2015,16,1280,75977
2015,17,1392,79451
2015,18,1373,76804
2015,19,1298,75664
2015,20,1197,71022
2015,21,963,59456
2015,22,1007,65224
2015,23,818,61928
2015,24,712,59283
2015,25,609,59432
2015,26,551,51706
2015,27,570,59972
2015,28,502,58590
2015,29,440,58522
2015,30,391,53941
2015,31,394,49816
2015,32,403,51014
2015,33,515,48986
2015,34,576,52084
2015,35,537,50093
2015,36,364,40250
2015,37,635,54205
2015,38,670,51962
2015,39,527,45580
